Title,Star Rating,Rating Count,Category,Reviews,URL,Search Term,Sentiment
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Very bad not purchase 😭 automatic switch off problem sound quality not working money waist,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Go,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,positive
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Battery problem,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Bad product.,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Nise product,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,positive
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Bad,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,"Product was not good
Charging was not happining",https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Mobile is damage. Very poor quality.,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Refurbished mobile.,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Product is good..but sound quality is very bad..don't buy it,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,There is a problem with the keypad and the phone is not vibrating third class product 😡😡😡😡😡😡😡❌,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Battry is very bad🥵,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Nice.,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,positive
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Master pho,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,positive
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Wrost product ever plz don't buy thi. Produ,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Good 👍,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,positive
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Very very very very bad product,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Very worst phone,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Good,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,positive
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Such a good kepad mobile phone,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,positive
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Better poor this phone other members not accepting this phone i request you,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
SAMSUNG SM-B310EZDDINS  (Black),3.2,"4,166",Mobiles & Accessories,Worste mobile and not working sim slots 😡😡 and there is return option don't buy guys,https://www.flipkart.com/samsung-sm-b310ezddins/p/itm1085fbe90ba3b?pid=MOBFXZXGCNBAKUSA&lid=LSTMOBFXZXGCNBAKUSAPNR1WK&marketplace=FLIPKART&q=Samsung+Phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=913bbc1e-fddc-42a8-b1dd-3df597d00ca2.MOBFXZXGCNBAKUSA.SEARCH&ppt=hp&ppn=homepage&ssid=eq76g25isw0000001746446934619&qH=2962b68671bd9b98,Samsung Phones,negative
